Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00225:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .txt"
00229:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .php"
00233:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .old"
00237:  C=403     29 L	      92 W	   1233 Ch	  "_code - .txt"
00245:  C=403     29 L	      92 W	   1233 Ch	  "_common - .old"
00253:  C=403     29 L	      92 W	   1233 Ch	  "_config - .php"
00259:  C=403     29 L	      92 W	   1233 Ch	  "_css - .php"
00268:  C=403     29 L	      92 W	   1233 Ch	  "_data - .bak"
00270:  C=403     29 L	      92 W	   1233 Ch	  "_data - .conf"
00271:  C=403     29 L	      92 W	   1233 Ch	  "_database - .php"
00272:  C=403     29 L	      92 W	   1233 Ch	  "_database - .html"
00273:  C=403     29 L	      92 W	   1233 Ch	  "_database - .txt"
00274:  C=403     29 L	      92 W	   1233 Ch	  "_database - .bak"
00275:  C=403     29 L	      92 W	   1233 Ch	  "_database - .old"
00276:  C=403     29 L	      92 W	   1233 Ch	  "_database - .conf"
00277:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .php"
00278:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .html"
00279:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .txt"
00280:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .bak"
00281:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .old"
00282:  C=403     29 L	      92 W	   1233 Ch	  "_db_backups - .conf"
00283:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .php"
00284:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .html"
00285:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .txt"
00286:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .bak"
00287:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .old"
00288:  C=403     29 L	      92 W	   1233 Ch	  "_derived - .conf"
00289:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .php"
00290:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .html"
00291:  C=403     29 L	      92 W	   1233 Ch	  "_dev - .txt"
